Bowl,Team,Points,ESPN Game ID,ESPN Team Name,isFinal,ESPN Team ID,State,date
Wasabi Fenway Bowl,Boston College,0,401551750,Boston College Eagles,False,103,pre,2023-12-28T16:00Z
Wasabi Fenway Bowl,SMU (Favorite),0,401551750,SMU Mustangs,False,2567,pre,2023-12-28T16:00Z
Bad Boy Mowers Pinstripe Bowl,Rutgers,0,401551762,Rutgers Scarlet Knights,False,164,pre,2023-12-28T19:15Z
Bad Boy Mowers Pinstripe Bowl,Miami (Favorite),0,401551762,Miami Hurricanes,False,2390,pre,2023-12-28T19:15Z
PopTarts Bowl,Kansas State (Favorite),0,401551764,Kansas State Wildcats,False,2306,pre,2023-12-28T22:45Z
PopTarts Bowl,NC State,0,401551764,NC State Wolfpack,False,152,pre,2023-12-28T22:45Z
Valero Alamo Bowl,Arizona (Favorite),0,401551765,Arizona Wildcats,False,12,pre,2023-12-29T02:15Z
Valero Alamo Bowl,Oklahoma,0,401551765,Oklahoma Sooners,False,201,pre,2023-12-29T02:15Z
TaxSlayer Gator Bowl,Clemson (Favorite),0,401551766,Clemson Tigers,False,228,pre,2023-12-29T17:00Z
TaxSlayer Gator Bowl,Kentucky,0,401551766,Kentucky Wildcats,False,96,pre,2023-12-29T17:00Z
Tony the Tiger Sun Bowl,Notre Dame (Favorite),0,401551798,Notre Dame Fighting Irish,False,87,pre,2023-12-29T19:00Z
Tony the Tiger Sun Bowl,Oregon State,0,401551798,Oregon State Beavers,False,204,pre,2023-12-29T19:00Z
AutoZone Liberty Bowl,Iowa State (Favorite),0,401551767,Iowa State Cyclones,False,66,pre,2023-12-29T20:30Z
AutoZone Liberty Bowl,Memphis,0,401551767,Memphis Tigers,False,235,pre,2023-12-29T20:30Z
Goodyear Cotton Bowl Classic,Ohio State (Favorite),0,401551768,Ohio State Buckeyes,False,194,pre,2023-12-30T01:00Z
Goodyear Cotton Bowl Classic,Missouri,0,401551768,Missouri Tigers,False,142,pre,2023-12-30T01:00Z
ChickfilA Peach Bowl,Ole Miss,0,401551769,Ole Miss Rebels,False,145,pre,2023-12-30T17:00Z
ChickfilA Peach Bowl,Penn State (Favorite),0,401551769,Penn State Nittany Lions,False,213,pre,2023-12-30T17:00Z
TransPerfect Music City Bowl,Auburn (Favorite),0,401551770,Auburn Tigers,False,2,pre,2023-12-30T19:00Z
TransPerfect Music City Bowl,Maryland,0,401551770,Maryland Terrapins,False,120,pre,2023-12-30T19:00Z
Capital One Orange Bowl,Florida State,0,401551773,Florida State Seminoles,False,52,pre,2023-12-30T21:00Z
Capital One Orange Bowl,Georgia (Favorite),0,401551773,Georgia Bulldogs,False,61,pre,2023-12-30T21:00Z
Barstool Sports Arizona Bowl,Wyoming,0,401554566,Wyoming Cowboys,False,2751,pre,2023-12-30T21:30Z
Barstool Sports Arizona Bowl,Toledo (Favorite),0,401554566,Toledo Rockets,False,2649,pre,2023-12-30T21:30Z
ReliaQuest Bowl,Wisconsin,0,401551778,Wisconsin Badgers,False,275,pre,2024-01-01T17:00Z
ReliaQuest Bowl,LSU (Favorite),0,401551778,LSU Tigers,False,99,pre,2024-01-01T17:00Z
CheezIt Citrus Bowl,Iowa,0,401551780,Iowa Hawkeyes,False,2294,pre,2024-01-01T18:00Z
Vrbo Fiesta Bowl,Liberty,0,401551782,Liberty Flames,False,2335,pre,2024-01-01T18:00Z
Vrbo Fiesta Bowl,Oregon (Favorite),0,401551782,Oregon Ducks,False,2483,pre,2024-01-01T18:00Z
CheezIt Citrus Bowl,Tennessee (Favorite),0,401551780,Tennessee Volunteers,False,2633,pre,2024-01-01T18:00Z
CFP Semifinal at the Rose Bowl Game,Alabama,0,401551786,Alabama Crimson Tide,False,333,pre,2024-01-01T22:00Z
CFP Semifinal at the Rose Bowl Game,Michigan (Favorite),0,401551786,Michigan Wolverines,False,130,pre,2024-01-01T22:00Z
CFP Semifinal at the Allstate Sugar Bowl,Washington,0,401551788,Washington Huskies,False,264,pre,2024-01-02T01:45Z
CFP Semifinal at the Allstate Sugar Bowl,Texas (Favorite),0,401551788,Texas Longhorns,False,251,pre,2024-01-02T01:45Z
Natl Championship,Alabama,0,401551789,Alabama Crimson Tide,False,333,pre,2024-01-08T07:30Z
Natl Championship,Michigan (Favorite),0,401551789,Michigan Wolverines,False,130,pre,2024-01-08T07:30Z
Natl Championship,Texas (Favorite),0,401551789,Texas Longhorns,False,251,pre,2024-01-08T07:30Z
Natl Championship,Washington,0,401551789,Washington Huskies,False,264,pre,2024-01-08T07:30Z
